1980
10002 50004 3.906706 0.000000
40005 20001 3.658108 0.000000
10002 60005 1.418254 0.000000
50006 20001 1.352428 0.000000
50006 30002 3.244140 0.000000
20003 60005 3.388527 0.000000
10002 70006 0.725030 0.000000
60007 20001 0.717153 0.000000
60007 30002 1.442918 0.000000
20003 70006 1.473301 0.000000
60007 40003 4.233244 0.000000
30004 70006 4.500319 0.000000
10002 80007 0.381494 0.000000
70008 20001 0.380461 0.000000
70008 30002 0.693844 0.000000
20003 80007 0.701593 0.000000
70008 40003 1.728996 0.000000
30004 80007 1.813514 0.000000
70008 50004 3.491576 0.000000
40005 80007 3.675886 0.000000
10002 90008 0.244796 0.000000
80009 20001 0.238220 0.000000
80009 30002 0.405630 0.000000
20003 90008 0.419276 0.000000
80009 40003 0.906943 0.000000
30004 90008 0.971467 0.000000
40005 90008 1.546198 0.000000
80009 50004 1.453750 0.000000
50006 90008 3.028112 0.000000
80009 60005 2.805658 0.000000
10002 100009 0.189823 0.000000
90010 20001 0.186188 0.000000
20003 100009 0.313398 0.000000
90010 30002 0.308998 0.000000
90010 40003 0.644928 0.000000
30004 100009 0.680617 0.000000
90010 50004 0.923046 0.000000
40005 100009 0.964561 0.000000
90010 60005 1.415787 0.000000
50006 100009 1.487514 0.000000
90010 70006 3.897314 0.000000
60007 100009 4.062376 0.000000
10002 110010 0.119680 0.000000
100011 20001 0.119537 0.000000
20003 110010 0.187094 0.000000
100011 30002 0.181850 0.000000
100011 40003 0.370967 0.000000
30004 110010 0.391961 0.000000
100011 50004 0.496612 0.000000
40005 110010 0.519418 0.000000
50006 110010 0.702518 0.000000
100011 60005 0.669360 0.000000
100011 70006 1.505402 0.000000
60007 110010 1.565249 0.000000
100011 80007 2.964290 0.000000
70008 110010 3.151155 0.000000
10002 120011 0.080252 0.000000
110012 20001 0.079734 0.000000
110012 30002 0.121791 0.000000
20003 120011 0.123002 0.000000
110012 40003 0.236374 0.000000
30004 120011 0.247239 0.000000
40005 120011 0.312881 0.000000
110012 50004 0.302430 0.000000
110012 60005 0.372166 0.000000
50006 120011 0.385266 0.000000
110012 70006 0.733281 0.000000
60007 120011 0.750684 0.000000
70008 120011 1.255736 0.000000
110012 80007 1.205825 0.000000
80009 120011 2.764643 0.000000
110012 90008 2.617658 0.000000
120013 20001 0.057388 0.000000
10002 130012 0.058297 0.000000
120013 30002 0.089686 0.000000
20003 130012 0.089098 0.000000
30004 130012 0.171100 0.000000
120013 40003 0.165020 0.000000
120013 50004 0.202510 0.000000
40005 130012 0.207447 0.000000
120013 60005 0.232746 0.000000
50006 130012 0.238079 0.000000
120013 70006 0.417742 0.000000
60007 130012 0.421593 0.000000
120013 80007 0.609779 0.000000
70008 130012 0.622966 0.000000
120013 90008 1.090445 0.000000
80009 130012 1.124592 0.000000
120013 100009 2.782899 0.000000
90010 130012 2.870052 0.000000
130014 20001 0.041824 0.000000
10002 140013 0.042469 0.000000
20003 140013 0.060637 0.000000
130014 30002 0.060496 0.000000
130014 40003 0.114300 0.000000
30004 140013 0.117115 0.000000
130014 50004 0.133552 0.000000
40005 140013 0.136162 0.000000
130014 60005 0.146341 0.000000
50006 140013 0.149071 0.000000
130014 70006 0.246728 0.000000
